scientific_name,common_name,type_of_cancer,components,compound,part,region_found,reference,image,fda_approved_drug
Terminalia arjuna,Arjuna tree,"Lung cancer, human breast adenocarcinoma","Tannins, triterpenoid saponins, flavonoids, tannin","Luteolin, gallic acid, ellagic acid, oligomeric proanthocyanidins, Casuarinin,Ursolic acid","Leaves,stem, and bark","Uttar Pradesh, Bihar, Maharashtra, Madhya Pradesh, West Bengal, Odisha ",https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Terminalia arjuna.jpeg,
Terminalia bellirica,"Bibhitaki/Baheda, Triphala ",Oral cancers,"Triterpenoids,Gallic Acidm,Ellagic Acid,Flavonoids,Tannins,Lignans","Galactose, Fructose,sitosterol,Mannitol",Fruit pulp,"Uttar Pradesh, Madhya Pradesh, Maharashtra, Karnataka, Tamil Nadu, Kerala, and Assam",https://www.thepharmajournal.com/vol3Issue7/19.1.html,Terminalia bellirica.jpeg,
Terminalia catappa,Badam,"Breast, lung cancer","Triterpenoids,Flavonoids,Tannins,Phenolic acids,Saponins,Alkaloids","Ursolic acidphenolic acids, gallic acid ,ellagic acid,oleanolic acid,nitrogen-containing compounds","Leaves , bark","Across India, including coastal areas, southern, eastern, and northeastern states, as well as the Andaman and Nicobar Islands.",https://www.plantsjournal.com/archives/2015/vol3issue6/PartA/3-5-33.pdf,Terminalia catappa.jpeg,
Terminalia chebula,"Haritaki or myrobalan,Harade,Kadukkai,Alale,Himmej","Human Leukemia, Colon Adenocarcinoma, Human breast cancer, Human Osteosarcoma, Human Prostate Cancer",Ellagitannin,"Chebulinic acid,tannic acid and ellagic acid",Acetone extract of bark and fruit powder,"Sub Himalayan tracks from Ravi eastwards to West Bengal and Assam,Northern India, central provinces and Bengal, common in Madras, Mysore","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3631759/#:~:text=Anticarcinogenic%20activity,chebula%5B31%5D.",Terminalia chebula.jpeg,
Thea sinensis,Tea,Breast cancer,"Flavonoid,amino acid,Vitamins and Minerals","Polyphenols,Catechins","Leaves,leaf buds","Assam, Darjeeling, Nilgiris, Kangra, Dooars-Terai, and Sikkim.",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Thea sinensis.jpeg,
Thespesia populnea,"Indian tulip tree, Portia tree",Breast cancer,Sequesterpenoids,Mansonone and gossypol,Bark,Tropical forests in India,https://link.springer.com/chapter/10.1007/978-3-319-93997-1_5,Thespesia populnea.jpeg,
Thunbergia laurifolia,"Blue trumpet vine, Laurel clock vine",Human breast cancer,Iridoid glucoside,"8-Epi-grandifloric acid, 3′-O-β-Glucopyranosylstilbericoside, Benzyl β-glucopyranoside, Benzyl β-(2′-O-βglucopyranosyl) glucopyranoside, Grandifloric acid, (E)-2-hexenyl β-glucopyranoside, Hexanol β-glucopyranoside, 6,8-Di-C-glucopyranosylapigenin",Entire plant,West Bengal,https://link.springer.com/book/10.1007/978-981-32-9147-8,Thunbergia laurifolia.jpeg,
Tiliacora racemosa,"Tiliacoru, Kelelata or Bhaglata,","Human leukaemic cell, human breastadenocarcinoma, cervical carcinoma cells",Alkaloids,Bisbenzylisoquinoline,Roots,"Andhra Pradesh, Bihar, Kerala, and Madhya Pradesh.",https://onlinelibrary.wiley.com/doi/10.1002/ptr.1501,Tiliacora racemosa.jpeg,
Tinospora cordifolia,"Heart-leaved moonseed,Guduchi in Sanskrit and Giloy in Hindi","Prostate Cancer, Human Breast Cancer","Alkaloids, Glycosides","Berberine, Choline, Tembetarine, Magnoflorine, Tinosporin, Palmetine,Isocolumbin, Aporphine, alkaloids, Jatrorrhizine, Tetrahydropalmatine* *18-norclerodane glucoside, Furanoid diterpene glucoside, Tinocordiside, Tinocordifolioside, Cordioside, Cordifolioside,Syringin, Syringin-apiosylglycoside, Pregnane glycoside,Palmatosides,Cordifolioside A, B, C, D and E","Stem, root",Throughout India,https://www.plantsjournal.com/vol2Issue2/Issue_feb_2014/1-5-11.1.pdf,Tinospora cordifolia.jpeg,
Toddalia asiatica,"Kanj, Milakarani, Kanchana ",Human lung carcinoma,Alkaloids,"8-methoxydihydrochelerythrine, dihydronitidine and dihydroavicine",Ethanolic extract of the dried stem,"Orissa, Andhra Pradesh",https://www.florajournal.com/archives/2015/vol3issue5/PartA/4-5-13-903.pdf,Toddalia asiatica.jpeg,
Tribulus terrestris,"Bindii, Gokshur",Human prostate cancer,Saponin,Terrestrosin D,Leaves,West Rajasthan and Gujarat,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Tribulus terrestris.jpeg,
Trigonella foenumgraecum,"Methika, Fenugreek","Breast cancer, Hepatocellular Carcinoma, human colon cancer","Saponin, alkaloids","Diosgenin, trigonelline",Seed,"Rajasthan, Gujarat, Madhya Pradesh, Uttar Pradesh, Maharashtra, and Punjab",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Trigonella foenumgraecum.jpeg,
Tylophora indica,"Aadumuttad, Aantmool",Lung cancer,Alkaloid,Tylophorine,"Root, leaf, flower","Peninsular India, extending to Bihar, Orissa, West Bengal, and north-eastern states",https://link.springer.com/book/10.1007/978-981-32-9147-8,Tylophora indica.jpeg,
Typhonium flagelliforme,Karinthakara,"Breast, lung and liver cancer","Pheophytin, phytosterol","Pheophorbide-a, Pyropheophorbide-a, Methyl pyropheophorbideahexadecanoic acid,  Campesterol, Stigmasterol","Leaves, Root",The southern part of India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Typhonium flagelliforme.jpeg,
Urtica dioica,Bichhua pattee/Bicchu Buti,Prostate Cancer,"Triterpenes,Sterols,Lipids,Amino Acids,flavonoids","Beta-sitosterol,linoleic acid,alpha-linolenic acid,histidine, lysine,arginine,folate,riboflavin","Leaves,Roots,Seeds","Himalayan Region,North-Eastern States of india,Western Ghats",https://www.researchgate.net/publication/325806191_Traditional_Medicinal_Plants_and_their_therapeutic_potential_against_major_cancer_types,Urtica dioica.jpeg,
Uvaria grandiflora,"Latkan , Zawl-thei, Taipak ",Human Breast cancer,Benzoate ester,Zeylenol,Stem,NE India,https://link.springer.com/book/10.1007/978-981-32-9147-8,Uvaria grandiflora.jpeg,
Vernonia amygdalina,Bitterleaf,Breast cancer,"Sesquiterpene Lactones,Flavonoids,Alkaloids,Polyphenols,Essential Oils","Vernodalin, vernolide,vernodalol,luteolin, quercetin,kaempferol,vernonioside, vernoniosine, vernoniamine,tannins and phenolic acids","Leaves,Roots,Seeds,Stems and Bark",Throughout India,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Vernonia amygdalina.jpeg,
Vernonia cinerea,Sahadevi,Gastrointestinal cancer,"Lavonoids, alkaloids, phenolic acids ","Terpenoids,Sesquiterpene Lactones",Leaves,"Kerala, Karnataka, Tamil Nadu, Andhra Pradesh, West Bengal, Odisha, Maharashtra, Gujarat, Madhya Pradesh, Uttar Pradesh, Punjab, and Haryana.",https://www.plantsjournal.com/archives/2017/vol5issue1/PartA/4-6-26-508.pdf,Vernonia cinerea.jpeg,
Vinca rosea,Periwinkle,"Germ cell tumors, Hodgkin lymphoma, non-Hodgkin lymphoma, choriocarcinoma, neuroblastoma, and lung cancer ",Alkaloids,Vincristine and vinblastine,"Leaves,stem","Punjab, Haryana, Uttar Pradesh",https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancerr,Vinca rosea.jpeg,
Viscum album,Mistletoe,Breast and gynecological cancers,"Alkaloids,Flavonoids","Lupenol,Viscotoxin,Digallic acid",Leaves,Kashmir,https://ijair.org/administrator/components/com_jresearch/files/publications/IJAIR_2569_FINAL.pdf,Viscum album.jpeg,
Vitex negundo,"Nirgundi, Sambhalu",Human hepatoma,"Flavonoids, flavonoids glycosides, phenolic compounds, terpenes, and phyto steroids","Artemetin, vitexicarpin, penduletin ","Leaves, flowers",Nallamala Hills of India,https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Vitex negundo.jpeg,
Vitex rotundifolia,"Roundleaf chastetree, beach vitex",Human breast cancer,Flavonoid,Casticin,Fruit,Southern India,https://doi.org/10.1016/j.genrep.2019.100553,Vitex rotundifolia.jpeg,
Vitis vinifera,"Draksha, grape",Oral squamous carcinoma,Polyphenolics,Resveratol,Leaves and fruit,"Maharashtra, Karnataka, Andhra Pradesh, and Tamil Nadu",https://www.ijpsr.info/docs/IJPSR16-07-10-014.pdf,Vitis vinifera.jpeg,
Withania somnifera,"Ashwagandha , Indian Winter cherry","Human prostate cancer, Breast cancer, Cervical carcinoma, Pancreatic cancer",Steroidal lactone,"Withanolides, Withaferin","Root, leaves","Rajasthan, Punjab, Haryana, Uttar Pradesh, Gujarat, Maharashtra and Madhya Pradesh ",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Withania somnifera.jpeg,
Zanthoxylum acanthopodium,Andaliman,"Breast, lung, colorectal, and human cervical cancer","Divanilloylquinic acid, carotenoid","Burkinabin C, Lutein",Fruit,"Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Uttar Pradesh, and West Bengal",https://link.springer.com/book/10.1007/978-981-32-9147-8,Zanthoxylum acanthopodium.jpeg,
Zanthoxylum armatum,Winged prickly ash,"Cervical, bone, lung, and prostate cancer","Flavonoid, phytosterol","Apigenin 7-O-glucoside, Stigmasterol",Fruit,"Jammu and Kashmir, Himachal Pradesh, Uttar Pradesh, Nagaland, Manipur, Meghalaya, Orissa, and Andhra Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Zanthoxylum armatum.jpeg,
Zanthoxylum oxyphyllum,Prickly ash,"Cervical, bone, lung, and prostate cancer","Alkaloid, carotenoid","Rutaceline, Lutein",Fruit,"Uttar Pradesh, West Bengal, Sikkim, Manipur, Meghalaya, and Arunachal Pradesh",https://link.springer.com/book/10.1007/978-981-32-9147-8,Zanthoxylum oxyphyllum.jpeg,
Zingiber officinale,"Adrak, Sunthi",Cervical cancer ,Phenolic compounds,"Curcumin, gingerenoneA, gingeols, shogaols, zingerone",Root and rhizome,"Karnataka, Orissa, Assam, Meghalaya, Arunachal Pradesh, and Gujarat.",https://doi.org/10.1016/B978-0-12-817592-7.00023-X,Zingiber officinale.jpeg,
Ziziphus jujube,Jujube,"Human breast,cervical cancer cells","Flavonoids,phenolic acids,Vitamins,Triterpenoids,Polysaccharides,Essential Oils,Saponin","Potassium, calcium, magnesium, iron, ursolic acid ,oleanolic acid","Fruits,Seeds,leaves,bark",Jammu and Kashmir,https://www.researchgate.net/publication/257435648_Therapeutic_Plants_of_Ayurveda_A_Review_on_Anticancer,Ziziphus jujube.jpeg,
